SPS: 102
Market Return : 59.13%   |   Portfolio Return : 46.24%   |   position : 1   |   portfolio_valuation : 1462.365705190366   |
Market Return : 59.13%   |   Portfolio Return : 13.31%   |   position : 0   |   portfolio_valuation : 1133.090474182005   |
Market Return : 59.13%   |   Portfolio Return : -27.46%   |   position : 1   |   portfolio_valuation : 725.4152958527073   |
Market Return : 59.13%   |   Portfolio Return : -28.40%   |   position : 0   |   portfolio_valuation : 715.957568992393   |
Market Return : 59.13%   |   Portfolio Return : -24.11%   |   position : 1   |   portfolio_valuation : 758.948060429167   |
Market Return : 59.13%   |   Portfolio Return :  0.63%   |   position : 0   |   portfolio_valuation : 1006.312474499676   |
Market Return : 59.13%   |   Portfolio Return : -34.46%   |   position : 1   |   portfolio_valuation : 655.3813289903254   |
Market Return : 59.13%   |   Portfolio Return : -1.81%   |   position : 1   |   portfolio_valuation : 981.9123394437635   |
Market Return : 59.13%   |   Portfolio Return : -31.64%   |   position : 0   |   portfolio_valuation : 683.5543860671588   |
Market Return : 59.13%   |   Portfolio Return : 20.98%   |   position : 0   |   portfolio_valuation : 1209.8427494669481   |
SPS: 101
SPS: 102
SPS: 102
SPS: 103
SPS: 104
SPS: 103
SPS: 101
SPS: 99
SPS: 96
SPS: 96
SPS: 94
Market Return : 59.13%   |   Portfolio Return :  1.51%   |   position : 1   |   portfolio_valuation : 1015.0738172519835   |
Market Return : 59.13%   |   Portfolio Return :  9.56%   |   position : 0   |   portfolio_valuation : 1095.6411452217778   |
Market Return : 59.13%   |   Portfolio Return : -47.97%   |   position : 0   |   portfolio_valuation : 520.3048614374859   |
Market Return : 59.13%   |   Portfolio Return : 26.17%   |   position : 1   |   portfolio_valuation : 1261.726170821043   |
Market Return : 59.13%   |   Portfolio Return :  0.19%   |   position : 0   |   portfolio_valuation : 1001.9012852660899   |
Market Return : 59.13%   |   Portfolio Return : 17.64%   |   position : -1   |   portfolio_valuation : 1176.371296116479   |
Market Return : 59.13%   |   Portfolio Return : 10.53%   |   position : 0   |   portfolio_valuation : 1105.32119712569   |
Market Return : 59.13%   |   Portfolio Return : -24.00%   |   position : 1   |   portfolio_valuation : 759.9781698532594   |
Market Return : 59.13%   |   Portfolio Return : -39.74%   |   position : -1   |   portfolio_valuation : 602.6089949902309   |
Market Return : 59.13%   |   Portfolio Return : 65.95%   |   position : 1   |   portfolio_valuation : 1659.4869265076427   |
Market Return : 59.13%   |   Portfolio Return : -56.43%   |   position : -1   |   portfolio_valuation : 435.7210977574665   |
Market Return : 59.13%   |   Portfolio Return : -64.21%   |   position : 1   |   portfolio_valuation : 357.92112662578376   |
Market Return : 59.13%   |   Portfolio Return : -23.74%   |   position : 1   |   portfolio_valuation : 762.5920718203536   |
Market Return : 59.13%   |   Portfolio Return : -31.06%   |   position : 0   |   portfolio_valuation : 689.4415454250386   |
Market Return : 59.13%   |   Portfolio Return : 12.90%   |   position : 1   |   portfolio_valuation : 1128.9614026976258   |
Market Return : 59.13%   |   Portfolio Return : -24.56%   |   position : 1   |   portfolio_valuation : 754.447732748817   |
Market Return : 59.13%   |   Portfolio Return : -16.55%   |   position : 0   |   portfolio_valuation : 834.4949903277359   |
Market Return : 59.13%   |   Portfolio Return : -23.09%   |   position : -1   |   portfolio_valuation : 769.0606786866489   |
Market Return : 59.13%   |   Portfolio Return :  2.45%   |   position : -1   |   portfolio_valuation : 1024.5375169104902   |
Market Return : 59.13%   |   Portfolio Return : -25.39%   |   position : -1   |   portfolio_valuation : 746.1123978051673   |
Market Return : 59.13%   |   Portfolio Return : -25.78%   |   position : 1   |   portfolio_valuation : 742.1939647042219   |
Market Return : 59.13%   |   Portfolio Return :  1.62%   |   position : 1   |   portfolio_valuation : 1016.1575242717224   |
Market Return : 59.13%   |   Portfolio Return : -18.82%   |   position : 1   |   portfolio_valuation : 811.841511365428   |
